2021-10-11 03:52:31.259 [main] INFO  com.allisonkosy.App - User{id=1, email='allisonkosy@gmail.com', password='000000'}
2021-10-11 03:52:31.271 [main] INFO  com.allisonkosy.App - Added Todo{title='Call Joy', id=1, description='Call Joy by 12:00am', completed=false, userId=1, createDate=Mon Oct 11 03:52:31 WAT 2021}
2021-10-11 03:52:31.272 [main] INFO  com.allisonkosy.App - Added Todo{title='Buy Eggs', id=2, description='Buy eggs to make Kenechukwu's birthday cake', completed=false, userId=1, createDate=Mon Oct 11 03:52:31 WAT 2021}
2021-10-11 03:52:31.272 [main] INFO  com.allisonkosy.App - Added Todo{title='Make Call', id=3, description='Make a call to building manager', completed=false, userId=1, createDate=Mon Oct 11 03:52:31 WAT 2021}
2021-10-11 03:52:31.273 [main] INFO  com.allisonkosy.App - Added Todo{title='Be Calm', id=4, description='Be calm, be calm, I kmow you feel like you are breaking down', completed=false, userId=1, createDate=Mon Oct 11 03:52:31 WAT 2021}
2021-10-11 03:55:13.380 [main] INFO  com.allisonkosy.App - User{id=1, email='allisonkosy@gmail.com', password='000000'}
2021-10-11 03:55:13.388 [main] INFO  com.allisonkosy.App - Added Todo{title='Call Joy', id=1, description='Call Joy by 12:00am', completed=false, userId=1, createDate=Mon Oct 11 03:55:13 WAT 2021}
2021-10-11 03:55:13.389 [main] INFO  com.allisonkosy.App - Added Todo{title='Buy Eggs', id=2, description='Buy eggs to make Kenechukwu's birthday cake', completed=false, userId=1, createDate=Mon Oct 11 03:55:13 WAT 2021}
2021-10-11 03:55:13.389 [main] INFO  com.allisonkosy.App - Added Todo{title='Make Call', id=3, description='Make a call to building manager', completed=false, userId=1, createDate=Mon Oct 11 03:55:13 WAT 2021}
2021-10-11 03:55:13.390 [main] INFO  com.allisonkosy.App - Added Todo{title='Be Calm', id=4, description='Be calm, be calm, I kmow you feel like you are breaking down', completed=false, userId=1, createDate=Mon Oct 11 03:55:13 WAT 2021}
2021-10-11 03:56:35.249 [main] INFO  com.allisonkosy.App - User{id=1, email='allisonkosy@gmail.com', password='000000'}
2021-10-11 03:56:35.255 [main] INFO  com.allisonkosy.App - Added Todo{title='Call Joy', id=1, description='Call Joy by 12:00am', completed=false, userId=1, createDate=Mon Oct 11 03:56:35 WAT 2021}
2021-10-11 03:56:35.256 [main] INFO  com.allisonkosy.App - Added Todo{title='Buy Eggs', id=2, description='Buy eggs to make Kenechukwu's birthday cake', completed=false, userId=1, createDate=Mon Oct 11 03:56:35 WAT 2021}
2021-10-11 03:56:35.256 [main] INFO  com.allisonkosy.App - Added Todo{title='Make Call', id=3, description='Make a call to building manager', completed=false, userId=1, createDate=Mon Oct 11 03:56:35 WAT 2021}
2021-10-11 03:56:35.256 [main] INFO  com.allisonkosy.App - Added Todo{title='Be Calm', id=4, description='Be calm, be calm, I kmow you feel like you are breaking down', completed=false, userId=1, createDate=Mon Oct 11 03:56:35 WAT 2021}
2021-10-11 03:56:35.257 [main] INFO  com.allisonkosy.App - Found Todo{title='Buy Eggs', id=2, description='Buy eggs to make Kenechukwu's birthday cake', completed=true, userId=1, createDate=Mon Oct 11 03:56:35 WAT 2021}
2021-10-11 03:58:33.557 [main] INFO  com.allisonkosy.App - User{id=1, email='allisonkosy@gmail.com', password='000000'}
2021-10-11 03:58:33.563 [main] INFO  com.allisonkosy.App - Added Todo{title='Call Joy', id=1, description='Call Joy by 12:00am', completed=false, userId=1, createDate=Mon Oct 11 03:58:33 WAT 2021}
2021-10-11 03:58:33.564 [main] INFO  com.allisonkosy.App - Added Todo{title='Buy Eggs', id=2, description='Buy eggs to make Kenechukwu's birthday cake', completed=false, userId=1, createDate=Mon Oct 11 03:58:33 WAT 2021}
2021-10-11 03:58:33.564 [main] INFO  com.allisonkosy.App - Added Todo{title='Make Call', id=3, description='Make a call to building manager', completed=false, userId=1, createDate=Mon Oct 11 03:58:33 WAT 2021}
